txn_id,order_id,amount_paise,timestamp
TXN000061,ORD0061,1136600,2025-03-04T23:16:01+00:00
TXN000062,ORD0062,1395900,2025-05-30T04:36:02+00:00
TXN000063,ORD0063,1286300,2025-01-11T20:41:23+00:00
TXN000064,ORD0064,390200,2025-06-09T13:52:39+00:00
TXN000065,ORD0065,67500,2025-06-06T07:47:07+00:00
TXN000066,ORD0066,531800,2025-03-19T21:33:48+00:00
TXN000067,ORD0067,360600,2025-06-27T07:31:21+00:00
TXN000068,ORD0068,1450800,2025-05-20T09:43:22+00:00
TXN000069,ORD0069,1088800,2025-04-07T22:35:10+00:00
TXN000070,ORD0070,1068200,2025-03-31T02:24:16+00:00
TXN000071,ORD0071,243700,2025-02-17T21:22:02+00:00
TXN000072,ORD0072,898000,2025-02-21T00:27:52+00:00
TXN000073,ORD0073,716900,2025-06-24T08:09:28+00:00
TXN000074,ORD0074,608000,2025-02-12T14:06:31+00:00
TXN000075,ORD0075,241600,2025-04-09T22:33:52+00:00
TXN000076,ORD0076,1253200,2025-01-10T03:34:41+00:00
TXN000077,ORD0077,265400,2025-05-02T20:06:37+00:00
TXN000078,ORD0078,1129900,2025-03-23T23:24:28+00:00
TXN000079,ORD0079,645400,2025-03-16T02:28:29+00:00
TXN000080,ORD0080,781800,2025-04-13T17:51:05+00:00
TXN000081,ORD0081,921400,2025-06-17T03:31:26+00:00
TXN000082,ORD0082,1129500,2025-05-20T22:48:25+00:00
TXN000083,ORD0083,1464600,2025-04-15T06:27:47+00:00
TXN000084,ORD0084,1245200,2025-02-21T19:29:43+00:00
TXN000085,ORD0085,1274200,2025-05-05T11:05:54+00:00
TXN000086,ORD0086,572300,2025-01-22T15:52:14+00:00
TXN000087,ORD0087,495800,2025-03-26T10:09:10+00:00
TXN000088,ORD0088,274100,2025-03-30T02:30:20+00:00
TXN000089,ORD0089,20300,2025-05-21T05:11:34+00:00
TXN000090,ORD0090,1449900,2025-05-20T17:57:18+00:00
TXN000091,ORD0091,446500,2025-04-08T04:54:01+00:00
TXN000092,ORD0092,1263300,2025-02-04T16:34:41+00:00
TXN000093,ORD0093,846700,2025-06-27T05:09:14+00:00
TXN000094,ORD0094,1039400,2025-02-27T22:51:12+00:00
TXN000095,ORD0095,846700,2025-04-29T06:00:24+00:00
TXN000096,ORD0096,627600,2025-05-29T01:33:28+00:00
TXN000097,ORD0097,1290700,2025-06-29T02:51:15+00:00
TXN000098,ORD0098,15900,2025-04-27T07:17:02+00:00
TXN000099,ORD0099,46900,2025-01-22T17:20:28+00:00
TXN000100,ORD0100,1454600,2025-06-11T11:50:32+00:00
